DOMAIN,ID,LAST_UPDATED,CASE_ID,CLOSED,CLOSED_BY,DATE_CLOSED,DATE_MODIFIED,INDEXED_ON,PARENT_CASE_ID,PARENT_CASE_TYPE,PARENT_RELATIONSHIP,OPENED_BY,CASE_NAME,CASE_TYPE,DATE_OPENED,DOB,EXTERNAL_ID,FIRST_NAME,LAST_NAME,MEDICAID_ID,MIDDLE_NAME,OWNER_ID,SOCIAL_SECURITY_NUMBER,RESOURCE_URI,SERVER_DATE_MODIFIED,SERVER_DATE_OPENED,USER_ID
co-carecoordination-test,076d6c28-6da4-459e-9ec9-5fdf9730a074,2025-05-16 10:40:44.951,076d6c28-6da4-459e-9ec9-5fdf9730a074,false,,,2025-05-16 05:54:34.792,2025-05-16 05:54:46.917,99b3a91d-47f1-4b1c-815c-d16b6db4c314,client,extension,d3da19206518417a922fddc7ff858411,may 2025-11 2025,alias,2025-05-16 05:54:34.792,,,may 2025-11,2025,,,d4466a97901a438f927ebae2bcfbaa4d,,,2025-05-16 05:54:34.851,2025-05-16 05:54:34.851,d3da19206518417a922fddc7ff858411
co-carecoordination-test,0760ac5a-d131-4e4d-a846-a169be9a13d7,2025-05-16 10:40:44.951,0760ac5a-d131-4e4d-a846-a169be9a13d7,false,,,2025-05-16 05:53:29.208,2025-05-16 05:53:34.776,99b3a91d-47f1-4b1c-815c-d16b6db4c314,client,extension,d3da19206518417a922fddc7ff858411,may 2025-2 may 2025-2,alias,2025-05-16 05:53:29.208,,,may 2025-2,may 2025-2,,,d4466a97901a438f927ebae2bcfbaa4d,,,2025-05-16 05:53:29.261,2025-05-16 05:53:29.261,d3da19206518417a922fddc7ff858411
co-carecoordination-test,2375e895-aa04-4593-9797-4b0d6dedd368,2025-05-16 10:40:44.951,2375e895-aa04-4593-9797-4b0d6dedd368,false,,,2025-05-16 05:53:29.208,2025-05-16 05:53:53.913,99b3a91d-47f1-4b1c-815c-d16b6db4c314,client,extension,d3da19206518417a922fddc7ff858411,may 2025-1 may 2025-1,alias,2025-05-16 05:53:29.208,,,may 2025-1,may 2025-1,,,d4466a97901a438f927ebae2bcfbaa4d,,,2025-05-16 05:53:29.261,2025-05-16 05:53:29.261,d3da19206518417a922fddc7ff858411
co-carecoordination-test,656bc45790654316ba6ab19d99d2816c,2024-05-20 18:42:51.878,656bc45790654316ba6ab19d99d2816c,false,,,2024-05-20 18:42:44.198,2024-05-20 18:42:48.377,9ed852715dec45c09da7e2d63aad3b19,client,extension,35dd35d8989859a0443e8e26a094394c,Patrick Patel,alias,2022-07-11 20:17:22.396,,,Patrick,Patel,,,d4466a97901a438f927ebae2bcfbaa4d,,,2024-05-20 18:42:44.389,2022-07-11 20:17:22.724,4dc757abe136d63f65b43ee6a7afd619
co-carecoordination-test,6bcfb4f760614f04a1615c0b671a929e,2024-05-20 18:43:13.850,6bcfb4f760614f04a1615c0b671a929e,false,,,2024-05-20 18:43:02.747,2024-05-20 18:43:12.451,9ea6370bbfe646e6be8d43e9ea6135a9,client,extension,35dd35d8989859a0443e8e26a094394c,Leslie Davis,alias,2022-07-11 20:19:40.331,,,Leslie,Davis,,,d4466a97901a438f927ebae2bcfbaa4d,,,2024-05-20 18:43:06.811,2022-07-11 20:19:40.634,4dc757abe136d63f65b43ee6a7afd619
co-carecoordination-test,9ca97d0b4a8a4753946b5d402664587b,2024-05-20 18:49:44.809,9ca97d0b4a8a4753946b5d402664587b,false,,,2024-05-20 18:49:26.588,2024-05-20 18:49:29.227,9ea57f335ab44278935c0baf64364b12,client,extension,35dd35d8989859a0443e8e26a094394c,Maria Murillo,alias,2022-07-11 20:26:55.927,,,Maria,Murillo,,,d4466a97901a438f927ebae2bcfbaa4d,,,2024-05-20 18:49:26.640,2022-07-11 20:26:56.182,4dc757abe136d63f65b43ee6a7afd619
co-carecoordination-test,9e712ac113b048a6934aaaa3f3f0074f,2025-06-18 10:40:45.044,9e712ac113b048a6934aaaa3f3f0074f,false,,,2025-06-18 06:06:41.545,2025-06-18 06:07:04.615,23f5a161-de60-46fb-a6a9-0907ee1a6acf,client,extension,35dd35d8989859a0443e8e26a094394c,Nancy Campbell,alias,2022-07-11 20:22:25.426,,,Nancy,Campbell,,,d4466a97901a438f927ebae2bcfbaa4d,,,2025-06-18 06:06:41.717,2022-07-11 20:22:25.521,d3da19206518417a922fddc7ff858411
co-carecoordination-test,2929f333151d4b3482a24d06a4bfa5c3,2025-06-18 10:40:45.044,2929f333151d4b3482a24d06a4bfa5c3,false,,,2025-06-18 06:06:41.545,2025-06-18 06:07:09.085,23f5a161-de60-46fb-a6a9-0907ee1a6acf,client,extension,35dd35d8989859a0443e8e26a094394c,Patrick,alias,2022-07-11 20:13:32.737,,,Patrick,,,,d4466a97901a438f927ebae2bcfbaa4d,,,2025-06-18 06:06:41.717,2022-07-11 20:13:32.888,d3da19206518417a922fddc7ff858411
co-carecoordination-test,4338fa6fb567476691f3ca683280f48e,2024-05-20 18:52:46.989,4338fa6fb567476691f3ca683280f48e,false,,,2024-05-20 18:52:26.473,2024-05-20 18:52:40.810,9ec484614b8b4682a2810e506fbe599c,client,extension,35dd35d8989859a0443e8e26a094394c,Christopher Franklin,alias,2022-07-11 20:24:16.316,,,Christopher,Franklin,,,d4466a97901a438f927ebae2bcfbaa4d,,,2024-05-20 18:52:26.602,2022-07-11 20:24:16.393,4dc757abe136d63f65b43ee6a7afd619
co-carecoordination-test,55fc530ca10147848f2f464e7f5167ff,2024-05-20 18:53:29.975,55fc530ca10147848f2f464e7f5167ff,false,,,2024-05-20 18:53:17.113,2024-05-20 18:53:22.851,9eb0ff0f3c6e438b95ae0d01fb782f14,client,extension,35dd35d8989859a0443e8e26a094394c,Antonio Stevens,alias,2022-07-11 20:28:30.697,,,Antonio,Stevens,,,d4466a97901a438f927ebae2bcfbaa4d,,,2024-05-20 18:53:17.240,2022-07-11 20:28:31.002,4dc757abe136d63f65b43ee6a7afd619
co-carecoordination-test,1e7126d7bcf24b75963d29a84b3ea173,2024-05-20 18:47:34.926,1e7126d7bcf24b75963d29a84b3ea173,false,,,2024-05-20 18:45:26.433,2024-05-20 18:47:24.976,9eaadc35130444ba971fd6f572cd9a19,client,extension,35dd35d8989859a0443e8e26a094394c,Melinda Nunez,alias,2022-07-11 20:15:37.563,,,Melinda,Nunez,,,d4466a97901a438f927ebae2bcfbaa4d,,,2024-05-20 18:45:26.531,2022-07-11 20:15:37.636,4dc757abe136d63f65b43ee6a7afd619
co-carecoordination-test,a4f446ce6e3b40c798caa5ebe0a6f710,2024-05-20 18:45:43.978,a4f446ce6e3b40c798caa5ebe0a6f710,false,,,2024-05-20 18:45:39.809,2024-05-20 18:45:43.194,9eadecde311341a1bea6a4a0ffe22ebb,client,extension,35dd35d8989859a0443e8e26a094394c,Michelle Dixon,alias,2022-07-11 20:28:16.897,,,Michelle,Dixon,,,d4466a97901a438f927ebae2bcfbaa4d,,,2024-05-20 18:45:39.954,2022-07-11 20:28:17.024,4dc757abe136d63f65b43ee6a7afd619
co-carecoordination-test,c87268ae1b6546c387131902cb22a65e,2024-05-20 18:48:17.726,c87268ae1b6546c387131902cb22a65e,false,,,2024-05-20 18:47:11.122,2024-05-20 18:47:56.241,9eb475befcba46e8a8a16773d2013647,client,extension,35dd35d8989859a0443e8e26a094394c,Kimberly Nunez,alias,2022-07-11 20:16:18.365,,,Kimberly,Nunez,,,d4466a97901a438f927ebae2bcfbaa4d,,,2024-05-20 18:47:14.212,2022-07-11 20:16:18.510,4dc757abe136d63f65b43ee6a7afd619
